
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002441                       # Number of seconds simulated (Second)
simTicks                                   2441001728                       # Number of ticks simulated (Tick)
finalTick                                  2441001728                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     46.64                       # Real time elapsed on the host (Second)
hostTickRate                                 52341736                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     729020                       # Number of bytes of host memory used (Byte)
simInsts                                      9773767                       # Number of instructions simulated (Count)
simOps                                       22101016                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   209576                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     473905                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           256                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          9535164                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.975587                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.025023                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23464591                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      723                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22936198                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3620                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1364292                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3026666                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9301497                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.465861                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.572256                       # Number of insts issued each cycle (Count)
system.dcache.LockedRMWReadReq.mshrMisses::cpu.data            1                       # number of LockedRMWReadReq MSHR misses (Count)
system.dcache.LockedRMWReadReq.mshrMisses::total            1                       # number of LockedRMWReadReq MSHR misses (Count)
system.dcache.LockedRMWReadReq.mshrMissLatency::cpu.data        33280                       # number of LockedRMWReadReq MSHR miss ticks (Tick)
system.dcache.LockedRMWReadReq.mshrMissLatency::total        33280                       # number of LockedRMWReadReq MSHR miss ticks (Tick)
system.dcache.LockedRMWReadReq.mshrMissRate::cpu.data            1                       # mshr miss rate for LockedRMWReadReq accesses (Ratio)
system.dcache.LockedRMWReadReq.mshrMissRate::total            1                       # mshr miss rate for LockedRMWReadReq accesses (Ratio)
system.dcache.LockedRMWReadReq.avgMshrMissLatency::cpu.data        33280                       # average LockedRMWReadReq mshr miss latency ((Tick/Count))
system.dcache.LockedRMWReadReq.avgMshrMissLatency::total        33280                       # average LockedRMWReadReq mshr miss latency ((Tick/Count))
system.dcache.LockedRMWWriteReq.hits::cpu.data            1                       # number of LockedRMWWriteReq hits (Count)
system.dcache.LockedRMWWriteReq.hits::total            1                       # number of LockedRMWWriteReq hits (Count)
system.dcache.LockedRMWWriteReq.accesses::cpu.data            1                       # number of LockedRMWWriteReq accesses(hits+misses) (Count)
system.dcache.LockedRMWWriteReq.accesses::total            1                       # number of LockedRMWWriteReq accesses(hits+misses) (Count)
system.dcache.ReadReq.hits::cpu.data          3607162                       # number of ReadReq hits (Count)
system.dcache.ReadReq.hits::total             3607162                       # number of ReadReq hits (Count)
system.dcache.ReadReq.misses::cpu.data        1217740                       # number of ReadReq misses (Count)
system.dcache.ReadReq.misses::total           1217740                       # number of ReadReq misses (Count)
system.dcache.ReadReq.missLatency::cpu.data   4903212032                       # number of ReadReq miss ticks (Tick)
system.dcache.ReadReq.missLatency::total   4903212032                       # number of ReadReq miss ticks (Tick)
system.dcache.ReadReq.accesses::cpu.data      4824902                       # number of ReadReq accesses(hits+misses) (Count)
system.dcache.ReadReq.accesses::total         4824902                       # number of ReadReq accesses(hits+misses) (Count)
system.dcache.ReadReq.missRate::cpu.data     0.252386                       # miss rate for ReadReq accesses (Ratio)
system.dcache.ReadReq.missRate::total        0.252386                       # miss rate for ReadReq accesses (Ratio)
system.dcache.ReadReq.avgMissLatency::cpu.data  4026.485154                       # average ReadReq miss latency ((Tick/Count))
system.dcache.ReadReq.avgMissLatency::total  4026.485154                       # average ReadReq miss latency ((Tick/Count))
system.dcache.ReadReq.mshrHits::cpu.data       935778                       # number of ReadReq MSHR hits (Count)
system.dcache.ReadReq.mshrHits::total          935778                       # number of ReadReq MSHR hits (Count)
system.dcache.ReadReq.mshrMisses::cpu.data       281962                       # number of ReadReq MSHR misses (Count)
system.dcache.ReadReq.mshrMisses::total        281962                       # number of ReadReq MSHR misses (Count)
system.dcache.ReadReq.mshrMissLatency::cpu.data   1155741696                       # number of ReadReq MSHR miss ticks (Tick)
system.dcache.ReadReq.mshrMissLatency::total   1155741696                       # number of ReadReq MSHR miss ticks (Tick)
system.dcache.ReadReq.mshrMissRate::cpu.data     0.058439                       # mshr miss rate for ReadReq accesses (Ratio)
system.dcache.ReadReq.mshrMissRate::total     0.058439                       # mshr miss rate for ReadReq accesses (Ratio)
system.dcache.ReadReq.avgMshrMissLatency::cpu.data  4098.927146                       # average ReadReq mshr miss latency ((Tick/Count))
system.dcache.ReadReq.avgMshrMissLatency::total  4098.927146                       # average ReadReq mshr miss latency ((Tick/Count))
system.dcache.WriteReq.hits::cpu.data         2331533                       # number of WriteReq hits (Count)
system.dcache.WriteReq.hits::total            2331533                       # number of WriteReq hits (Count)
system.dcache.WriteReq.misses::cpu.data          8639                       # number of WriteReq misses (Count)
system.dcache.WriteReq.misses::total             8639                       # number of WriteReq misses (Count)
system.dcache.WriteReq.missLatency::cpu.data    410679549                       # number of WriteReq miss ticks (Tick)
system.dcache.WriteReq.missLatency::total    410679549                       # number of WriteReq miss ticks (Tick)
system.dcache.WriteReq.accesses::cpu.data      2340172                       # number of WriteReq accesses(hits+misses) (Count)
system.dcache.WriteReq.accesses::total        2340172                       # number of WriteReq accesses(hits+misses) (Count)
system.dcache.WriteReq.missRate::cpu.data     0.003692                       # miss rate for WriteReq accesses (Ratio)
system.dcache.WriteReq.missRate::total       0.003692                       # miss rate for WriteReq accesses (Ratio)
system.dcache.WriteReq.avgMissLatency::cpu.data 47537.857275                       # average WriteReq miss latency ((Tick/Count))
system.dcache.WriteReq.avgMissLatency::total 47537.857275                       # average WriteReq miss latency ((Tick/Count))
system.dcache.WriteReq.mshrHits::cpu.data           10                       # number of WriteReq MSHR hits (Count)
system.dcache.WriteReq.mshrHits::total             10                       # number of WriteReq MSHR hits (Count)
system.dcache.WriteReq.mshrMisses::cpu.data         8629                       # number of WriteReq MSHR misses (Count)
system.dcache.WriteReq.mshrMisses::total         8629                       # number of WriteReq MSHR misses (Count)
system.dcache.WriteReq.mshrMissLatency::cpu.data    405875453                       # number of WriteReq MSHR miss ticks (Tick)
system.dcache.WriteReq.mshrMissLatency::total    405875453                       # number of WriteReq MSHR miss ticks (Tick)
system.dcache.WriteReq.mshrMissRate::cpu.data     0.003687                       # mshr miss rate for WriteReq accesses (Ratio)
system.dcache.WriteReq.mshrMissRate::total     0.003687                       # mshr miss rate for WriteReq accesses (Ratio)
system.dcache.WriteReq.avgMshrMissLatency::cpu.data 47036.209642                       # average WriteReq mshr miss latency ((Tick/Count))
system.dcache.WriteReq.avgMshrMissLatency::total 47036.209642                       # average WriteReq mshr miss latency ((Tick/Count))
system.dcache.power_state.pwrStateResidencyTicks::UNDEFINED   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.dcache.tags.tagsInUse               507.869974                       # Average ticks per tags in use ((Tick/Count))
system.dcache.tags.totalRefs                  6229291                       # Total number of references to valid blocks. (Count)
system.dcache.tags.sampledRefs                 290547                       # Sample count of references to valid blocks. (Count)
system.dcache.tags.avgRefs                  21.439874                       # Average number of references to valid blocks. ((Count/Count))
system.dcache.tags.warmupTick                  139776                       # The tick when the warmup percentage was hit. (Tick)
system.dcache.tags.occupancies::cpu.data   507.869974                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.dcache.tags.avgOccs::cpu.data         0.991934                       # Average percentage of cache occupancy ((Ratio/Tick))
system.dcache.tags.avgOccs::total            0.991934                       # Average percentage of cache occupancy ((Ratio/Tick))
